,,,,,,,,,,,,,,,,
,Domestic,Revenue,International,Revenue,Domestic ,Non-Revenue,International Non-Revenue,,,,,,,,,
Airline Name,Enplaned,Deplaned,Enplaned,Deplaned,Enplaned,Deplaned,Enplaned,Deplaned,Total,,,,,,,
Aer Lingus Ltd,0,0,"2,325","2,725",0,0,254,202,"5,506",,,,,,,
Aeroenlaces Nacionales S.A. de C.V.,0,0,489,532,0,0,0,0,"1,021",,,,,,,
Aerovias Del Continente Americano S.A. Avianca,0,0,"1,571","1,682",0,0,67,59,"3,379",,,,,,,
Aerovias de Mexico SA de CV,0,0,"7,023","8,097",0,0,84,184,"15,388",,,,,,,
Air Canada,0,0,"16,795","20,787",0,0,782,770,"39,134",,,,,,,
Air France,0,0,"4,803","5,584",0,0,68,46,"10,501",,,,,,,
Air Transat,0,0,779,"1,645",0,0,0,0,"2,424",,,,,,,
AirTran Airways,"164,692","173,152","4,364","3,343","3,287","3,433",0,0,"352,271",,,,,,,
Alaska Airlines Inc,"4,501","4,696",0,0,182,111,0,0,"9,490",,,,,,,
American Airlines Inc - Post-Bankrupcy,"108,556","117,994",0,0,"5,521","5,042",0,0,"237,113",,,,,,,
Atlantic Southeast Airlines Inc,"4,989","4,715",0,0,7,8,0,0,"9,719",,,,,,,
Bahamasair,0,0,"3,527","3,199",0,0,0,0,"6,726",,,,,,,
British Airways,0,0,"6,085","6,552",0,0,402,375,"13,414",,,,,,,
Canjet Airlines,0,0,"2,433","3,752",0,0,0,0,"6,185",,,,,,,
Caribbean Airlines Limited,0,0,"1,512","1,317",0,0,13,10,"2,852",,,,,,,
Caribbean Sun Airlines Inc,0,160,0,0,0,0,0,0,160,,,,,,,
Comair Inc,951,"1,002",0,0,0,0,0,0,"1,953",,,,,,,
Compass Airline,"1,561","1,539",0,0,8,7,0,0,"3,115",,,,,,,
Continental Air Lines Inc,"74,303","80,790",0,0,"3,658","3,692",0,0,"162,443",,,,,,,
Copa Airlines,0,0,"11,134","11,733",0,0,0,0,"22,867",,,,,,,
Delta Air Lines,"206,793","207,413",212,314,"6,751","5,784",1,0,"427,268",,,,,,,
Express Jet Airlines,747,751,0,0,6,22,0,0,"1,526",,,,,,,
Frontier Airlines,"11,708","12,471",0,0,253,335,0,0,"24,767",,,,,,,
JetBlue Airways,"175,477","182,466","20,853","20,105","6,097","6,010",440,467,"411,915",,,,,,,
Lufthansa Airlines,0,0,"7,382","7,611",0,0,560,406,"15,959",,,,,,,
MN Airlines LLC,"5,170","6,332",0,0,0,0,0,0,"11,502",,,,,,,
Miami Air International,44,46,964,965,0,0,0,0,"2,019",,,,,,,
Pinnacle Airlines Inc,312,358,0,0,11,14,0,0,695,,,,,,,
Republic Airline Inc,"1,884","1,966",0,0,0,0,0,0,"3,850",,,,,,,
Shuttle America Corp,468,796,0,0,0,0,0,0,"1,264",,,,,,,
Southwest Airlines Co,"291,686","298,728",0,0,"6,598","5,696",0,0,"602,708",,,,,,,
Spirit Airlines,"29,839","31,734",0,0,374,357,0,0,"62,304",,,,,,,
Sunwing Airlines Inc,0,0,"1,343","2,569",0,0,0,0,"3,912",,,,,,,
TACA International Airlines,0,0,"2,217","2,399",0,0,54,43,"4,713",,,,,,,
TAM Brazilian Airlines,0,0,"10,905","12,919",0,0,285,252,"24,361",,,,,,,
US Airways,"101,705","110,237",0,0,"2,686","2,659",0,0,"217,287",,,,,,,
United Airlines Inc,"62,920","67,483",0,0,"2,358","1,600",0,0,"134,361",,,,,,,
VPAA CO.,689,867,184,108,58,63,14,12,"1,995",,,,,,,
Virgin America Inc,"7,322","7,538",0,0,171,136,0,0,"15,167",,,,,,,
Virgin Atlantic Airways Ltd,0,0,"26,737","30,867",0,0,"1,857","2,064","61,525",,,,,,,
WestJet Airlines Ltd,0,0,"15,052","16,457",0,0,0,0,"31,509",,,,,,,
Greater Orlando Aviation Authority,,,,,,,,,,,,,,,,
Monthly Passenger Statistics,,,,,,,,,,,,,,,,
December 2011,,,,,,,,,,,,,,,,
Domestic Revenue,,,,,,,,,,,,,,,,
International Revenue,,,,,,,,,,,,,,,,
Domestic Non-Revenue,,,,,,,,,,,,,,,,
International Non-Revenue,,,,,,,,,,,,,,,,
